# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	188	 K1L1	    1	     2		 ---> 	 K1L3	    1	     1		1.43189908009E+02 	1.16036E+10    	4.79886336773056e-05
	189	 K1L1	    1	     2		 ---> 	 K1L3	    3	     2		1.43325500454E+02 	2.18331E+10    	9.029444637353759e-05
	190	 K1L1	    1	     2		 ---> 	 K1L3	    3	     1		1.53024364174E+02 	2.23125E+07    	9.227708546699999e-08
	191	 K1L1	    1	     2		 ---> 	 K1L3	    5	     1		1.53245127171E+02 	1.10951E+03    	4.588564665388959e-12
	192	 K1L1	    1	     2		 ---> 	 K1M1	    1	     2		1.02635274668E+03 	1.36952E+07    	5.663879623025919e-08
	193	 K1L1	    1	     2		 ---> 	 K1M1	    1	     1		1.02791169064E+03 	1.09747E+06    	4.538771226329119e-09
	194	 K1L1	    1	     2		 ---> 	 K1M1	    3	     1		1.02810396102E+03 	8.83179E+02    	3.652534860085583e-12
	195	 K1L1	    1	     2		 ---> 	 K1M2	    3	     3		1.07201075812E+03 	4.35715E+12    	0.018019724501626398
	196	 K1L1	    1	     2		 ---> 	 K1M2	    1	     3		1.07208795683E+03 	1.69231E+12    	0.006998831798617759
	197	 K1L1	    1	     2		 ---> 	 K1M2	    1	     2		1.07289319775E+03 	7.44180E+11    	0.0030776811860092797
	198	 K1L1	    1	     2		 ---> 	 K1M3	    1	     1		1.07477836630E+03 	9.33570E+11    	0.0038609352909547198
	199	 K1L1	    1	     2		 ---> 	 K1M3	    3	     2		1.07509768334E+03 	1.16231E+12    	0.00480692791973776
	200	 K1L1	    1	     2		 ---> 	 K1M3	    3	     1		1.07553081522E+03 	9.19291E+11    	0.0038018820919235355
	201	 K1L1	    1	     2		 ---> 	 K1M3	    5	     1		1.07637703550E+03 	2.75496E+06    	1.1393599075772158e-08
	202	 K1L1	    1	     2		 ---> 	 K1M4	    3	     3		1.15663267426E+03 	6.41087E+09    	2.6513227962255516e-05
	203	 K1L1	    1	     2		 ---> 	 K1M4	    5	     3		1.15671086632E+03 	2.15755E+10    	8.922909837504799e-05
	204	 K1L1	    1	     2		 ---> 	 K1M4	    5	     2		1.15682702689E+03 	2.75459E+10    	0.00011392068878724639
	205	 K1L1	    1	     2		 ---> 	 K1M4	    3	     2		1.15694932271E+03 	1.66965E+10    	6.9051175686264e-05
	206	 K1L1	    1	     2		 ---> 	 K1M4	    1	     1		1.15706611642E+03 	9.03960E+02    	3.73847817047616e-12
	207	 K1L1	    1	     2		 ---> 	 K1M5	    3	     1		1.15722097958E+03 	5.08420E+09    	2.10265617000032e-05
	208	 K1L1	    1	     2		 ---> 	 K1M5	    5	     1		1.15733657324E+03 	3.91359E+09    	1.6185307738388637e-05
	209	 K1L1	    1	     2		 ---> 	 K1M5	    7	     1		1.15744629586E+03 	2.60508E+04    	1.0773745201495678e-10
	210	 K1L1	    1	     2		 ---> 	 K1N1	    1	     1		1.16603593490E+03 	3.57496E+07    	1.4784846586492158e-07
	211	 K1L1	    1	     2		 ---> 	 L1L1	    1	     1		7.89980811486E+03 	3.48329E+09    	1.4405729928799839e-05
	212	 K1L1	    1	     2		 ---> 	 L1L2	    1	     3		8.03225424803E+03 	3.06028E+14    	1.2656301136714878
	213	 K1L1	    1	     2		 ---> 	 L1L2	    3	     3		8.03230216566E+03 	6.17961E+14    	2.555681345087856
	214	 K1L1	    1	     2		 ---> 	 L1L2	    1	     2		8.06379408148E+03 	4.73686E+10    	0.00019590078882474559
	215	 K1L1	    1	     2		 ---> 	 L1L3	    1	     1		8.07312158423E+03 	2.17545E+13    	0.089969382892632
	216	 K1L1	    1	     2		 ---> 	 L1L3	    3	     2		8.07320814787E+03 	3.79979E+13    	0.15714668754583838
	217	 K1L1	    1	     2		 ---> 	 L1L3	    3	     1		8.08443177375E+03 	1.35228E+11    	0.0005592580711946879
	218	 K1L1	    1	     2		 ---> 	 L1L3	    5	     1		8.08463984670E+03 	1.93351E+10    	7.99635484689296e-05
	219	 K1L1	    1	     2		 ---> 	 L2L2	    1	     3		0                 	0.00000E+00    	0.0            
	220	 K1L1	    1	     2		 ---> 	 L2L3	    3	     3		0                 	0.00000E+00    	0.0            
	221	 K1L1	    1	     2		 ---> 	 L2L3	    5	     2		0                 	0.00000E+00    	0.0            
	222	 K1L1	    1	     2		 ---> 	 L2L3	    1	     2		0                 	0.00000E+00    	0.0            
	223	 K1L1	    1	     2		 ---> 	 L2L3	    3	     2		0                 	0.00000E+00    	0.0            
	224	 K1L1	    1	     2		 ---> 	 L3L3	    1	     1		0                 	0.00000E+00    	0.0            
	225	 K1L1	    1	     2		 ---> 	 L3L3	    3	     1		0                 	0.00000E+00    	0.0            
	226	 K1L1	    1	     2		 ---> 	 L3L3	    5	     1		0                 	0.00000E+00    	0.0            
	227	 K1L1	    1	     2		 ---> 	 L1M1	    1	     2		8.91078587420E+03 	3.17104E+08    	1.3114367690723838e-06
	228	 K1L1	    1	     2		 ---> 	 L1M1	    1	     1		8.91183120883E+03 	3.45026E+08    	1.426912882480096e-06
	229	 K1L1	    1	     2		 ---> 	 L1M1	    3	     1		8.91202772711E+03 	4.55047E+09    	1.8819231780617117e-05
	230	 K1L1	    1	     2		 ---> 	 L1M2	    3	     3		8.95505647161E+03 	5.36216E+14    	2.217611189278336
	231	 K1L1	    1	     2		 ---> 	 L1M2	    1	     3		8.95512300721E+03 	2.58112E+14    	1.0674654603499518
	232	 K1L1	    1	     2		 ---> 	 L1M2	    1	     2		8.95594939174E+03 	9.17392E+13    	0.37940284589688317
	233	 K1L1	    1	     2		 ---> 	 L1M3	    1	     1		8.95763588434E+03 	1.27078E+14    	0.525552379472288
